,State,Medicaid_Expanded,Total_Enrollment,Latitude,Longitude,Tot_Medicaid_Enroll,Tot_CHIP_Enroll,All_Determinants_Rank,All_Determinants_Value,Cancer_Deaths_Rank,Cancer_Deaths_Value,Cardiovascular_Deaths_Rank,Cardiovascular_Deaths_Value,Cholesterol_Check_Rank,Cholesterol_Check_Value,Dedicated_Health_Provider_Rank,Dedicated_Health_Provider_Value,Diabetes_Rank,Diabetes_Value,Disparity_in_Health_Status_Rank,Disparity_in_Health_Status_Value,Drug_Deaths_Rank,Drug_Deaths_Value,High_Blood_Pressure_Rank,High_Blood_Pressure_Value,High_Cholesterol_Rank,High_Cholesterol_Value,Immunizations_Children_Rank,Immunizations_Children_Value,Infant_Mortality_Rank,Infant_Mortality_Value,Injury_Deaths_Rank,Injury_Deaths_Value,Obesity_Rank,Obesity_Value,Premature_Death_Rank,Premature_Death_Value,Primary_Care_Physicians_Rank,Primary_Care_Physicians_Value,Underemployment_Rate_Rank,Underemployment_Rate_Value,Unemployment_Rate_Rank,Unemployment_Rate_Value,Year,Uninsured_Rank,Uninsured_Value
10,Illinois,Y,2807453.0,44.2394,-114.5103,2529008.0,278445.0,25.0,0.078,34.0,198.7,33.0,262.4,18.0,86.8,13.0,82.0,15.0,10.0,35.0,28.6,24.0,18.1,25.0,32.2,20.0,32.5,9.0,75.4,31.0,6.2,7.0,62.9,27.0,31.8,21.0,7158.0,10.0,190.0,35.0,8.1,35.0,4.2,2019,19.0,6.9
11,Alabama,N,922597.0,32.799,-86.8073,752348.0,170249.0,46.0,-0.4370000000000001,42.0,210.8,48.0,347.0,14.0,87.5,22.0,78.1,49.0,14.5,33.0,28.0,19.0,16.1,49.0,41.9,45.0,37.2,21.0,71.2,49.0,8.2,32.0,84.2,45.0,36.2,48.0,10435.0,42.0,122.8,20.0,7.3,28.0,3.9,2019,37.0,9.7
12,Ohio,Y,2617316.0,38.4199,-117.1219,2419689.0,197627.0,37.0,-0.21,43.0,210.9,39.0,291.3,29.0,85.3,20.0,79.7,35.0,12.2,15.0,23.3,49.0,37.3,36.0,34.7,28.0,33.4,45.0,66.4,41.0,7.3,42.0,89.8,34.0,34.0,42.0,9399.0,13.0,178.2,38.0,8.3,43.0,4.5,2019,16.0,6.3
13,Oregon,Y,984653.0,40.3736,-82.7755,856999.0,127654.0,17.0,0.262,26.0,190.6,9.0,226.1,36.0,84.5,34.0,75.0,26.0,11.0,37.0,28.8,10.0,12.4,12.0,30.1,17.0,32.1,27.0,70.3,12.0,5.0,16.0,73.1,19.0,29.9,12.0,6561.0,25.0,147.4,38.0,8.3,30.0,4.1,2019,20.0,7.0
14,New Mexico,Y,735867.0,43.4108,-71.5653,697508.0,38359.0,35.0,-0.193,7.0,170.0,12.0,231.4,42.0,82.1,47.0,68.9,36.0,12.5,28.0,26.5,39.0,24.7,14.0,30.5,13.0,31.4,19.0,71.9,28.0,6.1,49.0,105.8,29.0,32.3,40.0,9135.0,26.0,144.7,45.0,9.1,45.0,4.7,2019,33.0,9.3
15,Montana,Y,261547.0,14.8058,145.5505,233673.0,27874.0,24.0,0.09699999999999999,18.0,185.4,22.0,240.2,46.0,80.6,41.0,72.8,9.0,9.3,9.0,20.8,10.0,12.4,6.0,29.0,2.0,28.8,47.0,66.2,16.0,5.6,44.0,92.2,6.0,26.9,27.0,7660.0,44.0,116.0,24.0,7.5,23.0,3.7,2019,30.0,8.4
16,Iowa,Y,690673.0,21.1098,-157.5311,613697.0,76976.0,21.0,0.209,31.0,195.3,27.0,252.2,37.0,84.4,12.0,82.5,15.0,10.0,40.0,30.5,5.0,10.6,22.0,31.5,30.0,34.1,16.0,72.8,19.0,5.7,11.0,65.8,44.0,35.3,16.0,6733.0,22.0,152.2,2.0,5.2,1.0,2.5,2019,6.0,4.7
17,Utah,N,304947.0,44.2853,-99.4632,263504.0,41443.0,6.0,0.47600000000000003,1.0,149.8,19.0,238.7,48.0,80.0,42.0,72.6,2.0,8.4,44.0,31.5,35.0,23.0,1.0,24.5,1.0,28.6,40.0,67.9,16.0,5.6,23.0,77.3,10.0,27.7,10.0,6391.0,49.0,102.0,10.0,6.1,13.0,3.3,2019,33.0,9.3
18,South Dakota,N,109187.0,18.2766,-66.335,93570.0,15617.0,28.0,-0.02,22.0,188.9,21.0,240.1,42.0,82.1,35.0,74.7,9.0,9.3,2.0,16.8,2.0,8.4,19.0,30.8,4.0,29.5,12.0,74.7,32.0,6.3,31.0,82.9,20.0,30.1,31.0,7838.0,34.0,131.4,6.0,5.8,8.0,2.9,2019,36.0,9.5
19,Washington,Y,1709289.0,40.1135,-111.8535,1638184.0,71105.0,7.0,0.425,16.0,184.7,6.0,222.4,26.0,85.6,31.0,76.0,14.0,9.9,43.0,31.1,16.0,15.2,8.0,29.5,14.0,31.8,29.0,69.9,4.0,4.1,13.0,67.5,13.0,28.7,5.0,6094.0,23.0,150.0,40.0,8.4,41.0,4.4,2019,16.0,6.3
20,Arkansas,Y,852157.0,34.9513,-92.3809,760825.0,91332.0,48.0,-0.478,46.0,217.7,47.0,338.3,41.0,82.8,16.0,81.3,46.0,13.9,10.0,21.6,14.0,14.2,48.0,41.3,43.0,36.8,34.0,69.4,48.0,8.1,35.0,84.6,48.0,37.1,46.0,10210.0,43.0,122.3,28.0,7.7,24.0,3.8,2019,25.0,8.1
21,New Hampshire,Y,176734.0,47.5362,-99.79299999999999,161605.0,15129.0,5.0,0.542,28.0,192.3,8.0,226.0,11.0,88.8,2.0,86.2,18.0,10.3,42.0,30.9,48.0,35.2,11.0,30.0,23.0,32.8,3.0,78.9,2.0,3.9,37.0,85.4,18.0,29.6,17.0,6770.0,18.0,162.9,4.0,5.6,2.0,2.6,2019,14.0,5.8
22,Vermont,Y,149642.0,31.105999999999998,-97.6475,145131.0,4511.0,1.0,0.687,33.0,197.0,19.0,238.7,22.0,86.1,4.0,85.7,8.0,9.2,3.0,17.4,27.0,19.9,13.0,30.4,6.0,30.4,15.0,74.0,3.0,4.0,24.0,77.8,8.0,27.5,14.0,6646.0,11.0,188.7,5.0,5.7,4.0,2.7,2019,3.0,4.3
23,Maine,Y,255593.0,39.0724,-76.7902,243514.0,12079.0,14.0,0.32,40.0,209.3,13.0,233.6,28.0,85.4,5.0,85.2,21.0,10.6,34.0,28.3,41.0,27.0,39.0,34.8,46.0,37.4,17.0,72.7,21.0,5.8,34.0,84.4,23.0,30.4,25.0,7575.0,7.0,199.1,30.0,7.8,18.0,3.5,2019,25.0,8.1
24,Georgia,N,1801767.0,27.8333,-81.717,1596947.0,204820.0,43.0,-0.315,30.0,194.8,38.0,285.3,7.0,89.4,44.0,71.8,40.0,12.6,30.0,26.8,13.0,13.6,33.0,33.1,10.0,31.1,50.0,65.6,43.0,7.4,15.0,69.7,30.0,32.5,34.0,8243.0,41.0,123.9,33.0,8.0,28.0,3.9,2019,48.0,13.6
25,Mississippi,N,607772.0,38.4623,-92.302,531528.0,76244.0,50.0,-0.6559999999999999,49.0,226.8,50.0,363.2,34.0,84.7,37.0,74.0,48.0,14.3,5.0,18.8,7.0,12.1,47.0,40.8,48.0,37.7,38.0,68.7,50.0,8.6,40.0,89.0,49.0,39.5,49.0,11043.0,47.0,110.8,42.0,8.7,47.0,4.8,2019,45.0,12.1
26,Wyoming,N,53843.0,44.0407,-72.7093,49656.0,4187.0,23.0,0.113,6.0,169.5,15.0,234.7,47.0,80.4,49.0,67.8,4.0,8.7,7.0,19.6,17.0,15.3,19.0,30.8,7.0,30.8,18.0,72.0,10.0,4.8,45.0,96.5,14.0,29.0,23.0,7412.0,46.0,111.0,31.0,7.9,35.0,4.2,2019,44.0,11.4
27,Virginia,Y,1372173.0,35.7449,-86.7489,1222280.0,149893.0,15.0,0.293,24.0,190.1,23.0,242.6,16.0,87.0,24.0,77.8,20.0,10.5,24.0,26.2,18.0,15.4,26.0,32.4,37.0,34.7,6.0,77.1,24.0,5.9,9.0,64.4,22.0,30.3,19.0,6914.0,24.0,148.1,14.0,6.4,8.0,2.9,2019,31.0,8.8
28,Wisconsin,N,1035364.0,37.768,-78.2057,966981.0,68383.0,22.0,0.129,25.0,190.4,23.0,242.6,31.0,85.0,11.0,82.6,4.0,8.7,17.0,23.7,25.0,18.3,19.0,30.8,34.0,34.5,36.0,69.2,33.0,6.4,27.0,79.4,28.0,32.0,18.0,6800.0,21.0,152.4,8.0,6.0,10.0,3.0,2019,9.0,5.5
29,New Jersey,Y,1679110.0,41.1289,-98.2883,1452517.0,226593.0,8.0,0.419,12.0,180.4,25.0,247.2,2.0,91.1,21.0,79.6,23.0,10.8,17.0,23.7,34.0,22.8,32.0,33.0,35.0,34.6,35.0,69.3,6.0,4.3,3.0,55.5,3.0,25.6,9.0,6329.0,12.0,181.0,28.0,7.7,35.0,4.2,2019,24.0,7.6
30,Alaska,Y,221152.0,61.385,-152.2683,204574.0,16578.0,29.0,-0.027000000000000003,18.0,185.4,11.0,227.6,50.0,75.1,50.0,63.0,6.0,8.8,16.0,23.5,22.0,17.6,23.0,31.8,12.0,31.2,32.0,69.5,15.0,5.5,48.0,104.2,15.0,29.5,37.0,8513.0,29.0,141.2,50.0,12.0,50.0,6.6,2019,47.0,13.2
31,Tennessee,N,1433004.0,41.6772,-71.5101,1379398.0,53606.0,41.0,-0.303,45.0,217.2,45.0,313.6,10.0,89.0,29.0,76.4,45.0,13.8,23.0,26.0,38.0,24.3,44.0,38.7,41.0,36.5,2.0,79.3,43.0,7.4,43.0,90.1,38.0,34.4,43.0,9931.0,31.0,139.1,16.0,6.8,18.0,3.5,2019,38.0,9.8
32,Idaho,N,265065.0,42.0046,-93.214,239148.0,25917.0,19.0,0.226,17.0,184.8,26.0,247.8,49.0,78.4,45.0,71.1,17.0,10.2,13.0,22.0,15.0,14.5,10.0,29.8,7.0,30.8,36.0,69.2,13.0,5.4,26.0,78.4,12.0,28.4,15.0,6669.0,50.0,96.6,12.0,6.3,10.0,3.0,2019,40.0,10.6
33,Michigan,Y,2284611.0,44.6074,-69.3977,2219198.0,65413.0,31.0,-0.1,36.0,200.9,41.0,300.7,9.0,89.2,6.0,85.1,32.0,11.7,6.0,18.9,37.0,23.9,36.0,34.7,38.0,35.1,29.0,69.9,36.0,6.6,18.0,75.4,31.0,33.0,32.0,8111.0,6.0,205.2,31.0,7.9,30.0,4.1,2019,7.0,5.3
34,Minnesota,Y,1020355.0,43.3504,-84.5603,1019160.0,1195.0,11.0,0.34299999999999997,14.0,181.8,1.0,193.8,17.0,86.9,32.0,75.8,7.0,8.9,29.0,26.7,7.0,12.1,3.0,26.6,3.0,29.0,48.0,66.1,11.0,4.9,10.0,65.3,20.0,30.1,2.0,5683.0,16.0,169.5,3.0,5.4,5.0,2.8,2019,4.0,4.4
35,West Virginia,Y,510779.0,18.0001,-64.8199,476539.0,34240.0,40.0,-0.282,48.0,224.9,44.0,303.7,21.0,86.6,15.0,81.4,50.0,16.2,26.0,26.4,50.0,48.3,50.0,43.5,50.0,39.7,12.0,74.7,40.0,7.2,50.0,119.8,49.0,39.5,50.0,11448.0,14.0,172.8,49.0,9.8,49.0,5.3,2019,16.0,6.3
36,Hawaii,Y,326580.0,32.9866,-83.6487,301078.0,25502.0,3.0,0.605,2.0,159.1,3.0,209.8,39.0,83.5,7.0,85.0,29.0,11.5,1.0,14.5,12.0,13.3,16.0,30.6,14.0,31.8,31.0,69.8,19.0,5.7,4.0,55.9,2.0,24.9,7.0,6245.0,8.0,193.9,10.0,6.1,2.0,2.6,2019,2.0,4.0
37,Nevada,Y,626688.0,40.314,-74.5089,586167.0,40521.0,36.0,-0.195,23.0,189.7,43.0,302.6,32.0,84.8,46.0,69.5,22.0,10.7,19.0,23.8,33.0,22.1,29.0,32.6,27.0,33.1,20.0,71.3,21.0,5.8,28.0,79.5,15.0,29.5,30.0,7785.0,48.0,107.4,48.0,9.5,43.0,4.5,2019,43.0,11.2
38,New York,Y,6480784.0,34.8375,-106.2371,5792620.0,688164.0,9.0,0.395,9.0,176.4,30.0,259.4,6.0,89.5,18.0,80.4,26.0,11.0,35.0,28.6,21.0,17.0,7.0,29.4,22.0,32.6,42.0,67.5,7.0,4.5,1.0,48.4,9.0,27.6,3.0,5830.0,3.0,230.7,35.0,8.1,30.0,4.1,2019,12.0,5.6
39,Nebraska,N,243090.0,35.6411,-79.8431,208679.0,34411.0,18.0,0.249,21.0,187.6,16.0,236.4,37.0,84.4,25.0,77.7,12.0,9.7,48.0,32.5,1.0,7.2,16.0,30.6,16.0,31.9,5.0,77.9,24.0,5.9,5.0,59.1,35.0,34.1,11.0,6555.0,19.0,158.2,6.0,5.8,5.0,2.8,2019,28.0,8.3
40,Florida,N,3621088.0,39.3498,-75.5148,3380922.0,240166.0,33.0,-0.17300000000000001,13.0,181.1,17.0,236.7,8.0,89.3,39.0,73.8,40.0,12.6,32.0,27.2,32.0,21.4,35.0,34.6,40.0,35.9,8.0,76.2,28.0,6.1,21.0,76.4,24.0,30.7,29.0,7739.0,35.0,131.3,27.0,7.6,22.0,3.6,2019,46.0,13.0
41,Maryland,Y,1317729.0,42.2373,-71.5314,1175966.0,141763.0,13.0,0.342,20.0,187.2,32.0,262.1,3.0,91.0,10.0,83.6,34.0,12.0,49.0,32.9,45.0,30.2,26.0,32.4,20.0,32.5,11.0,75.2,35.0,6.5,24.0,77.8,25.0,30.9,28.0,7689.0,9.0,192.1,33.0,8.0,35.0,4.2,2019,15.0,6.1
42,Delaware,Y,246494.0,38.8964,-77.0262,235103.0,11391.0,27.0,-0.012,37.0,201.3,28.0,256.4,5.0,90.2,14.0,81.7,33.0,11.9,20.0,25.0,42.0,29.2,40.0,34.9,35.0,34.6,6.0,77.1,41.0,7.3,19.0,75.6,33.0,33.5,35.0,8268.0,17.0,166.2,21.0,7.4,24.0,3.8,2019,13.0,5.7
43,Missouri,N,833914.0,45.7326,-93.9196,797931.0,35983.0,38.0,-0.252,39.0,206.3,40.0,295.3,26.0,85.6,28.0,76.6,29.0,11.5,25.0,26.3,30.0,21.1,24.0,32.0,33.0,34.3,21.0,71.2,33.0,6.4,39.0,87.7,42.0,35.0,38.0,8828.0,15.0,171.5,16.0,6.8,12.0,3.2,2019,33.0,9.3
44,Rhode Island,Y,290961.0,44.5672,-122.1269,258198.0,32763.0,10.0,0.384,27.0,191.7,14.0,234.5,4.0,90.5,3.0,86.1,25.0,10.9,44.0,31.5,44.0,29.7,33.0,33.1,24.0,33.0,14.0,74.4,26.0,6.0,17.0,74.9,10.0,27.7,13.0,6602.0,1.0,274.9,21.0,7.4,30.0,4.1,2019,4.0,4.4
45,Connecticut,Y,847287.0,39.0646,-105.3272,827095.0,20192.0,4.0,0.574,8.0,174.2,5.0,219.8,1.0,91.4,9.0,84.2,12.0,9.7,41.0,30.7,40.0,26.4,14.0,30.5,18.0,32.2,10.0,75.3,8.0,4.7,12.0,66.4,7.0,27.4,4.0,6091.0,4.0,220.0,44.0,8.9,30.0,4.1,2019,8.0,5.4
46,Kansas,N,374705.0,39.8647,-86.2604,317167.0,57538.0,30.0,-0.034,29.0,194.7,31.0,261.8,32.0,84.8,25.0,77.7,31.0,11.6,10.0,21.6,6.0,11.6,31.0,32.8,30.0,34.1,32.0,69.5,26.0,6.0,20.0,75.7,38.0,34.4,26.0,7608.0,32.0,138.1,8.0,6.0,15.0,3.4,2019,31.0,8.8
47,Colorado,Y,1266840.0,36.17,-119.7462,1188502.0,78338.0,11.0,0.34299999999999997,3.0,163.1,2.0,207.2,24.0,86.0,37.0,74.0,1.0,7.0,50.0,37.6,20.0,16.6,2.0,25.9,5.0,30.3,23.0,71.0,8.0,4.7,30.0,82.2,1.0,22.9,8.0,6288.0,27.0,143.4,12.0,6.3,13.0,3.3,2019,23.0,7.5
48,North Carolina,N,1730817.0,32.7673,-89.6812,1457217.0,273600.0,32.0,-0.14800000000000002,32.0,196.1,29.0,257.2,20.0,86.7,23.0,78.0,36.0,12.5,46.0,31.7,26.0,19.5,36.0,34.7,39.0,35.5,25.0,70.9,39.0,7.1,22.0,76.6,31.0,33.0,36.0,8276.0,33.0,134.4,24.0,7.5,24.0,3.8,2019,41.0,10.7
49,Indiana,Y,1461776.0,40.3363,-89.0022,1350626.0,111150.0,44.0,-0.325,41.0,209.5,37.0,282.6,40.0,83.4,19.0,79.8,36.0,12.5,14.0,22.9,36.0,23.7,41.0,35.2,30.0,34.1,46.0,66.3,43.0,7.4,28.0,79.5,35.0,34.1,39.0,8995.0,38.0,127.2,15.0,6.6,18.0,3.5,2019,28.0,8.3
0,Vermont,Y,160114.0,31.105999999999998,-97.6475,155538.0,4576.0,4.0,0.636,29.0,193.9,20.0,237.5,22.0,86.1,2.0,87.4,6.0,8.2,47.0,33.8,26.0,17.0,13.0,30.4,6.0,30.4,15.0,74.0,1.0,3.9,26.0,74.4,11.0,27.6,13.0,6563.0,11.0,183.3,7.0,6.4,6.0,3.1,2018,3.0,4.2
1,New Hampshire,Y,184476.0,47.5362,-99.79299999999999,169089.0,15387.0,5.0,0.563,27.0,192.8,9.0,221.4,11.0,88.8,4.0,87.1,7.0,8.4,27.0,28.3,49.0,31.9,11.0,30.0,23.0,32.8,3.0,78.9,1.0,3.9,37.0,80.8,13.0,28.1,20.0,7067.0,17.0,163.0,4.0,6.2,3.0,2.8,2018,15.0,5.9
2,Texas,N,4308644.0,33.8191,-80.9066,3701865.0,606779.0,42.0,-0.292,11.0,180.5,34.0,264.2,35.0,84.6,49.0,67.8,41.0,11.9,33.0,29.5,5.0,10.0,28.0,32.5,24.0,33.0,41.0,67.8,19.0,5.7,8.0,59.7,37.0,33.0,22.0,7199.0,45.0,113.2,26.0,8.2,25.0,4.3,2018,50.0,17.0
3,Nebraska,N,247510.0,35.6411,-79.8431,212374.0,35136.0,14.0,0.318,19.0,187.4,16.0,232.4,37.0,84.4,21.0,80.1,18.0,10.1,49.0,35.8,1.0,6.8,16.0,30.6,16.0,31.9,5.0,77.9,24.0,6.0,7.0,58.5,35.0,32.8,10.0,6401.0,19.0,155.5,3.0,6.1,3.0,2.8,2018,29.0,8.5
4,Idaho,N,280570.0,42.0046,-93.214,256565.0,24005.0,20.0,0.264,14.0,182.1,25.0,241.3,49.0,78.4,37.0,74.8,8.0,8.7,47.0,33.8,16.0,14.2,10.0,29.8,7.0,30.8,36.0,69.2,15.0,5.4,28.0,75.6,19.0,29.3,15.0,6723.0,50.0,95.7,14.0,7.1,7.0,3.2,2018,39.0,10.1
5,Massachusetts,Y,1598878.0,31.1801,-91.8749,1407486.0,191392.0,1.0,0.718,16.0,182.7,4.0,208.7,12.0,88.2,5.0,86.6,14.0,9.5,43.0,32.4,43.0,25.2,5.0,28.6,19.0,32.4,1.0,82.1,3.0,4.1,5.0,57.7,7.0,25.8,6.0,6097.0,2.0,245.0,17.0,7.4,20.0,3.9,2018,1.0,2.7
6,Maryland,Y,1316115.0,42.2373,-71.5314,1158429.0,157686.0,17.0,0.29100000000000004,21.0,188.1,30.0,257.7,3.0,91.0,9.0,83.2,19.0,10.4,28.0,28.4,41.0,23.9,26.0,32.4,20.0,32.5,11.0,75.2,35.0,6.6,15.0,68.6,25.0,31.3,28.0,7655.0,8.0,188.2,23.0,8.0,24.0,4.2,2018,17.0,6.1
7,Virginia,Y,1053309.0,35.7449,-86.7489,909439.0,143870.0,18.0,0.28600000000000003,24.0,190.7,24.0,239.6,16.0,87.0,29.0,76.7,23.0,10.5,45.0,33.3,15.0,13.4,26.0,32.4,37.0,34.7,6.0,77.1,21.0,5.9,9.0,61.2,22.0,30.0,18.0,6877.0,25.0,144.6,21.0,7.9,16.0,3.7,2018,31.0,8.8
8,New Mexico,Y,728327.0,43.4108,-71.5653,691223.0,37104.0,34.0,-0.18600000000000005,6.0,168.9,10.0,225.0,42.0,82.1,43.0,71.5,29.0,10.7,17.0,26.1,44.0,25.6,14.0,30.5,13.0,31.4,19.0,71.9,18.0,5.6,49.0,105.7,14.0,28.4,42.0,9301.0,26.0,141.6,49.0,11.3,49.0,6.1,2018,35.0,9.2
9,Mississippi,N,620567.0,38.4623,-92.302,544645.0,75922.0,49.0,-0.637,48.0,226.6,50.0,356.0,34.0,84.7,31.0,76.5,49.0,14.2,3.0,19.6,8.0,11.9,47.0,40.8,48.0,37.7,38.0,68.7,50.0,8.9,43.0,87.6,49.0,37.3,49.0,11082.0,47.0,108.6,41.0,9.5,45.0,5.1,2018,44.0,11.9
10,Kentucky,Y,1222239.0,38.5111,-96.8005,1132632.0,89607.0,42.0,-0.292,50.0,234.9,44.0,299.7,18.0,86.8,13.0,82.3,44.0,12.9,22.0,27.0,47.0,28.6,46.0,39.4,49.0,38.1,23.0,71.0,36.0,6.7,45.0,91.7,43.0,34.3,47.0,10479.0,40.0,124.1,32.0,8.8,47.0,5.2,2018,8.0,5.3
11,Colorado,Y,1305951.0,36.17,-119.7462,1225946.0,80005.0,12.0,0.371,3.0,162.3,2.0,207.4,24.0,86.0,39.0,73.9,2.0,7.4,37.0,30.8,22.0,16.2,2.0,25.9,5.0,30.3,23.0,71.0,8.0,4.7,33.0,79.3,1.0,22.6,9.0,6352.0,27.0,141.3,6.0,6.3,5.0,2.9,2018,23.0,7.5
12,Arizona,Y,1700470.0,14.2417,-170.7197,1597487.0,102983.0,33.0,-0.168,4.0,168.4,5.0,217.4,30.0,85.2,40.0,72.6,19.0,10.4,32.0,29.2,31.0,19.5,18.0,30.7,28.0,33.4,44.0,66.5,15.0,5.4,36.0,80.4,21.0,29.5,26.0,7502.0,38.0,126.1,41.0,9.5,35.0,4.7,2018,39.0,10.1
13,Kansas,N,389535.0,39.8647,-86.2604,333884.0,55651.0,27.0,0.013999999999999999,31.0,195.5,31.0,258.2,32.0,84.8,26.0,77.6,23.0,10.5,25.0,27.9,7.0,11.6,31.0,32.8,30.0,34.1,32.0,69.5,21.0,5.9,23.0,71.7,32.0,32.3,23.0,7350.0,31.0,136.9,11.0,6.9,13.0,3.6,2018,30.0,8.7
14,Alaska,Y,211912.0,61.385,-152.2683,197143.0,14769.0,35.0,-0.22699999999999998,26.0,192.1,11.0,226.1,50.0,75.1,47.0,68.7,2.0,7.4,1.0,13.1,25.0,16.5,23.0,31.8,12.0,31.2,32.0,69.5,27.0,6.1,48.0,97.8,42.0,34.2,37.0,8666.0,29.0,139.0,50.0,13.2,50.0,7.7,2018,48.0,13.9
15,Utah,N,288403.0,44.2853,-99.4632,244688.0,43715.0,6.0,0.506,1.0,150.4,19.0,236.1,48.0,80.0,45.0,71.0,1.0,7.1,37.0,30.8,40.0,22.9,1.0,24.5,1.0,28.6,40.0,67.9,13.0,5.2,31.0,76.9,4.0,25.2,14.0,6565.0,49.0,99.2,11.0,6.9,11.0,3.4,2018,33.0,9.0
